Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Federal Disability Insurance Trust Fund                         ,Mandatory,Social Security,Social Security Administration                                  ,Social Security Administration,"145,061","147,702","153,389","159,957","167,332","175,313","182,995","191,583","200,685","205,597","212,810"
Special benefits for certain World War II veterans,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,1,1,1,1,1,1,1,1,1,1,1
Special benefits for certain World War II veterans,Mandatory,Other Spending,Social Security Administration                                  ,Social Security Administration,1,1,1,1,1,1,1,1,1,1,1
Compensation and pensions                                       ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,"97,607","102,678","105,753","118,999","114,406","108,765","122,579","126,902","131,308","147,149","129,660"
Veterans insurance and indemnities                              ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,106,111,115,120,119,121,124,126,127,128,130
Veterans reopened insurance fund,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,19,15,13,10,8,7,4,3,3,2,1
Service-disabled veterans insurance fund,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,5,-1,1,-1,0,0,0,-1,0,0,0
National service life insurance fund,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,698,613,524,431,359,271,201,145,98,53,18
Veterans special life insurance fund,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,87,77,67,58,47,40,33,27,22,18,15
Premiums for veterans' life insurance,Mandatory,Offsetting receipts,Department of Veterans Affairs                                  ,Department of Veterans Affairs,-35,-28,-23,-18,-14,-10,-7,-5,-3,-2,-1
Veterans employment and training,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,40,45,49,52,53,54,56,57,58,60,61
Readjustment benefits                                           ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,"14,085","14,953","15,903","17,185","17,003","16,745","18,117","18,738","19,387","20,944","19,888"
Veteran's Educational Assistance Act,Mandatory,Offsetting receipts,Department of Veterans Affairs                                  ,Department of Veterans Affairs,-127,-121,-115,-109,-104,-99,-94,-89,-85,-81,-77
Education benefits fund,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Educational Benefits,204,191,180,182,159,148,163,165,167,183,157
"Employing agency contributions, education benefits fund",Mandatory,Offsetting receipts,Other Defense Civil Programs                                    ,Educational Benefits,-116,-110,-154,-155,-162,-166,-174,-173,-177,-184,-193
"Construction, Major Projects                                    ",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,852,900,"1,135","1,630","1,965","2,175","2,219","2,265","2,313","2,360","2,409"
"Construction, Minor Projects                                    ",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,466,508,580,678,760,824,841,858,876,894,911
"Construction, Minor Projects                                    ",Mandatory,Other Spending,Department of Veterans Affairs                                  ,Departmental Administration,70,77,80,80,0,0,0,0,0,0,0
Medical Community Care                                          ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,"9,799","10,978","11,867","12,182","12,426","12,689","12,951","13,217","13,482","13,765","14,044"
Medical Support and Compliance                                  ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,"6,842","6,866","7,085","7,333","7,586","7,845","8,110","8,380","8,656","8,948","9,249"
Medical Support and Compliance                                  ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,3,3,3,3,0,0,0,0,0,0,0
Medical services                                                ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,"52,307","54,587","56,101","57,976","59,772","61,633","63,430","65,253","67,108","69,075","71,090"
Medical and prosthetic research,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,689,763,796,821,841,867,892,919,945,973,"1,002"
Medical Facilities,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,"5,911","6,512","7,077","7,436","7,562","7,724","7,928","8,136","8,346","8,567","8,791"
Medical Facilities,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,389,228,0,0,0,0,0,0,0,0,0
DOD-VA health care sharing incentive fund,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,28,29,30,30,32,33,34,35,35,37,37
Joint DOD-VA Medical Facility Demonstration Fund                ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,413,424,437,452,464,478,493,507,521,536,551
Veterans Choice Fund                                            ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,"4,000","2,825",0,0,0,0,0,0,0,0,0
Grants for Construction of State Extended Care Facilities       ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,110,143,150,152,155,158,162,165,169,172,175
Veterans Electronic Health Care Record                          ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,931,"1,055","1,136","1,181","1,211","1,241","1,273","1,305","1,337","1,370","1,404"
"Offsetting receipts, VA medical",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,"-3,667","-3,729","-3,743","-3,716","-3,715","-3,713","-3,710","-3,706","-3,705","-3,702","-3,698"
Veterans Housing Benefit Program Fund                           ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Benefits Programs,201,205,209,213,218,223,227,232,236,241,246
Veterans Housing Benefit Program Fund                           ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,599,558,493,440,390,343,371,396,424,458,"1,034"
Native american veteran housing loan program account,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Benefits Programs,1,1,1,1,1,1,1,1,1,1,1
Housing liquidating account,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Benefits Programs,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,0
Salaries and expenses,Discretionary,Nondefense,Other Defense Civil Programs                                    ,Cemeterial Expenses,80,82,84,86,89,91,93,96,98,101,103
Construction                                                    ,Discretionary,Nondefense,Other Defense Civil Programs                                    ,Cemeterial Expenses,15,68,49,46,28,29,30,30,31,31,32
National Cemetery Administration                                ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,315,325,336,346,357,368,379,391,402,415,427
General Administration                                          ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,353,368,381,395,409,423,438,453,468,484,500
"General Operating Expenses, Veterans Benefits Administration    ",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Benefits Programs,"2,921","3,019","3,130","3,243","3,355","3,470","3,587","3,707","3,828","3,957","4,089"
Information technology systems                                  ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,"4,097","4,175","4,262","4,367","4,478","4,592","4,708","4,824","4,943","5,068","5,194"
Information technology systems                                  ,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Departmental Administration,17,0,0,0,0,0,0,0,0,0,0
Office of Inspector General,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,190,199,207,215,223,231,239,247,256,265,274
Grants for Construction of Veterans Cemeteries                  ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,46,45,45,46,47,48,49,50,51,52,53
Board of Veterans Appeals,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,173,181,188,196,203,210,218,226,234,242,251
Canteen service revolving fund,Mandatory,Other Spending,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,11,9,7,6,5,4,4,4,4,4,3
"General post fund, national homes",Mandatory,Offsetting receipts,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31
"General post fund, national homes",Mandatory,Other Spending,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,39,39,39,39,39,39,39,39,39,39,39
Salaries and expenses,Discretionary,Nondefense,Other Defense Civil Programs                                    ,American Battle Monuments Commission,104,107,110,112,115,118,121,124,128,131,134
Contributions,Mandatory,Other Spending,Other Defense Civil Programs                                    ,American Battle Monuments Commission,1,1,1,1,1,1,1,1,1,1,1
Salaries and Expenses                                           ,Discretionary,Nondefense,United States Court of Appeals for Veterans Claims              ,United States Court of Appeals for Veterans Claims              ,35,36,37,39,40,41,42,44,45,47,48
Court of Appeals for Veterans Claims Retirement Fund            ,Mandatory,Other Spending,United States Court of Appeals for Veterans Claims              ,United States Court of Appeals for Veterans Claims              ,1,1,1,1,1,1,1,1,1,1,1
Salaries and expenses,Discretionary,Nondefense,Department of Justice                                           ,General Administration,114,117,122,126,130,134,138,143,147,152,156
Construction,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,27,36,47,54,55,56,57,59,60,61,62
Justice information sharing technology                          ,Discretionary,Nondefense,Department of Justice                                           ,General Administration,35,36,37,38,39,40,41,42,43,44,45
Salaries and expenses,Discretionary,Nondefense,Department of Justice                                           ,Federal Bureau of Investigation,"3,605","3,707","3,827","3,953","4,083","4,214","4,349","4,485","4,623","4,770","4,920"
Salaries and expenses,Mandatory,Other Spending,Department of Justice                                           ,Federal Bureau of Investigation,0,0,0,0,0,0,0,0,0,0,0
Construction,Discretionary,Nondefense,Department of Justice                                           ,Federal Bureau of Investigation,242,308,364,378,384,392,401,409,417,426,435
Interagency crime and drug enforcement,Discretionary,Nondefense,Department of Justice                                           ,Interagency Law Enforcement,543,552,562,574,586,599,611,624,636,650,663
Office of Inspector General,Discretionary,Nondefense,Department of Justice                                           ,General Administration,97,101,104,108,112,115,119,123,127,132,136
Executive Office for Immigration Review                         ,Discretionary,Nondefense,Department of Justice                                           ,General Administration,505,518,535,551,569,585,603,620,638,657,676
Salaries and expenses,Discretionary,Nondefense,Department of Justice                                           ,"Bureau of Alcohol, Tobacco, Firearms, and Explosives","1,294","1,333","1,380","1,427","1,474","1,522","1,571","1,621","1,671","1,725","1,780"
Salaries and expenses,Discretionary,Nondefense,Department of Justice                                           ,United States Parole Commission,13,13,14,14,15,15,16,16,17,18,18
Salaries and expenses,Discretionary,Nondefense,Department of Justice                                           ,Drug Enforcement Administration,"2,181","2,244","2,309","2,380","2,453","2,528","2,603","2,680","2,758","2,840","2,924"
Salaries and expenses                                           ,Discretionary,Nondefense,Department of Justice                                           ,National Security Division                                      ,101,104,108,111,115,119,123,127,131,135,140
Working capital fund,Discretionary,Nondefense,Department of Justice                                           ,General Administration,0,0,0,0,0,0,0,0,0,0,0
Diversion control fee account,Mandatory,Other Spending,Department of Justice                                           ,Drug Enforcement Administration,414,447,435,440,450,459,469,478,488,498,508
Explosives user fees,Mandatory,Offsetting receipts,Department of Justice                                           ,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
"Diversion control fee account, DEA",Mandatory,Offsetting receipts,Department of Justice                                           ,Department of Justice,-415,-424,-433,-441,-451,-460,-470,-479,-489,-499,-509
Salaries and expenses,Discretionary,Nondefense,Department of the Treasury                                      ,Financial Crimes Enforcement Network,116,118,121,125,129,133,136,140,144,149,153
Enforcement,Discretionary,Nondefense,Department of the Treasury                                      ,Internal Revenue Service,627,651,677,704,731,758,786,815,844,874,906
Treasury forfeiture fund,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,651,604,575,550,500,398,398,398,398,400,500
Salaries and expenses,Discretionary,Nondefense,Equal Employment Opportunity Commission                         ,Equal Employment Opportunity Commission                         ,380,393,407,421,436,451,466,481,496,512,529
"Operations and Support, OSEM                                    ",Discretionary,Nondefense,Department of Homeland Security                                 ,Office of the Secretary and Executive Management                ,146,144,148,153,158,163,169,174,180,185,191
"Operations and Support, MD",Discretionary,Nondefense,Department of Homeland Security                                 ,Management Directorate                                          ,710,726,748,769,791,813,835,858,881,906,932
"Operations and Support, AO                                      ",Discretionary,Nondefense,Department of Homeland Security                                 ,Analysis and Operations                                         ,245,252,260,267,275,284,292,301,309,318,328
"Operations and Support, OIG                                     ",Discretionary,Nondefense,Department of Homeland Security                                 ,Office of the Inspector General,168,174,179,186,192,198,205,212,219,226,234
"Operations and Support, CIS                                     ",Discretionary,Nondefense,Department of Homeland Security                                 ,Citizenship and Immigration Services,108,112,115,118,122,125,129,133,137,141,145
"Operations and Support, CIS                                     ",Mandatory,Other Spending,Department of Homeland Security                                 ,Citizenship and Immigration Services,"3,948","4,325","4,098","4,070","4,070","4,070","4,070","4,070","4,070","4,070","4,070"
"Operations and Support, USSS                                    ",Discretionary,Nondefense,Department of Homeland Security                                 ,United States Secret Service,"1,916","1,973","2,045","2,118","2,190","2,265","2,340","2,416","2,494","2,577","2,662"
"Procurement, Construction, and Improvements, USSS               ",Discretionary,Nondefense,Department of Homeland Security                                 ,United States Secret Service,107,110,92,93,95,97,99,101,103,105,107
"Contribution for Annuity Benefits, United States Secret Service ",Mandatory,Other Spending,Department of Homeland Security                                 ,United States Secret Service,265,265,265,265,265,265,265,265,265,265,265
"Procurement, Construction, and Improvements, MD                 ",Discretionary,Nondefense,Department of Homeland Security                                 ,Management Directorate                                          ,62,72,74,75,77,79,79,81,83,84,86
"Procurement, Construction, and Improvements, CIS                ",Discretionary,Nondefense,Department of Homeland Security                                 ,Citizenship and Immigration Services,19,23,23,24,24,25,25,26,27,27,28
"Federal Assistance, CWMD                                        ",Discretionary,Nondefense,Department of Homeland Security                                 ,Countering Weapons of Mass Destruction Office                   ,46,47,48,49,50,51,52,53,54,55,56
"Procurement, Construction, and Improvements, NPPD",Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,11,5,0,0,0,0,0,0,0,0,0
"Operations and Support, FLETC                                   ",Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Law Enforcement Training Center,254,261,270,278,287,296,305,314,324,334,344
Office of Biometric Identity Management,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,28,0,0,0,0,0,0,0,0,0,0
"Operations and Support, CBP                                     ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,"11,554","12,066","12,458","12,896","13,336","13,785","14,243","14,708","15,184","15,687","16,203"
"Operations and Support, CBP                                     ",Mandatory,Other Spending,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,"1,927","2,089","2,104","2,182","2,275","2,374","2,479","2,591","2,709","2,822","2,938"
"Procurement, Construction, and Improvements, CBP                ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,768,"1,230","2,170","2,356","2,404","2,453","2,505","2,557","2,609","2,662","2,716"
"Border Security Fencing, Infrastructure, and Technology         ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,132,45,0,0,0,0,0,0,0,0,0
"Operations and Support, ICE                                     ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,"6,929","7,162","7,361","7,584","7,809","8,039","8,274","8,511","8,752","9,007","9,267"
"Operations and Support, ICE                                     ",Mandatory,Other Spending,Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,350,401,386,394,407,420,432,446,459,473,487
"Procurement, Construction, and Improvements, ICE                ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,44,65,84,88,85,87,89,91,93,94,96
"Operations and Support, NPPD                                    ",Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,219,225,230,235,241,247,254,260,266,273,280
"Operations and Support, Sci and Tech                            ",Discretionary,Nondefense,Department of Homeland Security                                 ,Science and Technology,325,328,332,340,349,358,367,377,385,396,405
"Research and Development, MD                                    ",Discretionary,Nondefense,Department of Homeland Security                                 ,Management Directorate                                          ,3,3,3,3,3,3,3,3,3,4,4
"Research and Development, Sci and Tech                          ",Discretionary,Nondefense,Department of Homeland Security                                 ,Science and Technology,488,507,513,524,535,545,557,568,580,592,604
"Research and Development, USSS                                  ",Discretionary,Nondefense,Department of Homeland Security                                 ,United States Secret Service,1,0,0,0,0,0,0,0,0,0,0
"Research and Development, CWMD                                  ",Discretionary,Nondefense,Department of Homeland Security                                 ,Countering Weapons of Mass Destruction Office                   ,150,147,149,152,155,158,161,165,168,171,175
"Operations and Support, CWMD                                    ",Discretionary,Nondefense,Department of Homeland Security                                 ,Countering Weapons of Mass Destruction Office                   ,56,57,58,60,62,64,66,67,69,71,73
"Procurement, Construction and Improvements, CWMD                ",Discretionary,Nondefense,Department of Homeland Security                                 ,Countering Weapons of Mass Destruction Office                   ,90,91,92,94,95,98,100,102,104,106,108
International Registered Traveler                               ,Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,0,-1,0,0,0,0,0,0,0,0,0
Electronic System for Travel Authorization (ESTA)               ,Mandatory,Other Spending,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,60,64,60,60,60,60,60,60,60,60,60
9-11 Response and Biometric Exit Account,Mandatory,Other Spending,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,104,119,120,120,120,120,113,77,44,20,0
"U.S. Customs Refunds, Transfers and Expenses, Unclaimed and Aban",Mandatory,Other Spending,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,5,5,5,5,5,5,5,5,5,5,5
Immigration user fee,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-975,"-1,009","-1,044","-1,081","-1,119","-1,158","-1,198","-1,240","-1,284","-1,329","-1,375"
Immigration examinations fee,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,"-4,005","-4,005","-4,005","-4,005","-4,005","-4,005","-4,005","-4,005","-4,005","-4,005","-4,005"
Land border inspection fee,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-211,-213,-215,-217,-219,-222,-224,-226,-229,-231,-234
H-1B nonimmigrant petitioner account,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-380,-380,-380,-380,-380,-380,-380,-380,-380,-380,-380
"Termporary L-1 Visa fees, 9-11 response and biometric exit account",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-10,-10,-10,-10,-10,-10,-10,0,0,0,0
Breached bond/detention fund,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
"Temporary H-1B Visa fees, 9-11 response and biometric exit account",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-15,-15,-15,-15,-15,-15,-15,0,0,0,0
"User fees for customs service, Customs services at small airports",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-9,-9,-9,-10,-10,-10,-11,-11,-11,-12,-12
"US Customs users fees account, conveyance/passenger/other",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-925,-997,"-1,075","-1,156","-1,247","-1,346","-1,455","-1,573","-1,702",-300,0
"US Customs user fees account, Merchandise processing",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,"-2,831","-3,050","-3,289","-3,536","-3,815","-4,120","-4,454","-4,815","-4,840",-229,0
Student and exchange visitor fee,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,-128,-133,-139,-144,-150,-156,-162,-168,-174,-180,-187
Office for Civil Rights,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,39,40,42,43,44,46,47,49,50,52,54
Fair housing activities,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Fair Housing and Equal Opportunity,66,66,66,67,68,69,71,72,74,75,77
Fair Housing and Equal Opportunity                              ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,70,73,76,79,82,85,88,91,95,98,102
Office for Civil Rights,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,124,130,133,138,143,148,153,158,163,168,174
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,61,62,65,67,70,72,74,77,79,81,84
Salaries and Expenses                                           ,Discretionary,Nondefense,Administrative Conference of the United States                  ,Administrative Conference of the United States                  ,3,3,3,3,3,4,4,4,4,4,4
Salaries and expenses                                           ,Discretionary,Nondefense,Access Board                                                    ,Access Board                                                    ,8,8,9,9,9,9,10,10,10,11,11
Salaries and Expenses                                           ,Discretionary,Nondefense,Commission on Civil Rights                                      ,Commission on Civil Rights                                      ,11,11,11,11,11,12,12,13,13,13,14
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,Supreme Court of the United States,81,84,87,90,94,97,100,104,107,111,114
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,Supreme Court of the United States,3,3,3,3,3,3,3,3,3,3,4
Care of the building and grounds,Discretionary,Nondefense,Judicial Branch                                                 ,Supreme Court of the United States,11,12,13,14,16,17,18,18,19,19,20
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,United States Court of International Trade,19,20,20,21,22,22,23,24,24,25,26
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,United States Court of International Trade,2,2,2,2,2,3,3,3,3,3,4
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,United States Court of Appeals for the Federal Circuit,31,31,32,33,34,36,37,38,39,40,42
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,United States Court of Appeals for the Federal Circuit,3,3,4,4,4,4,4,4,4,5,5
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services","5,009","5,262","5,442","5,626","5,808","5,995","6,185","6,378","6,575","6,785","6,999"
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",410,426,444,462,480,499,518,537,556,577,599
Defender services,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services","1,104","1,115","1,142","1,175","1,209","1,243","1,278","1,314","1,350","1,387","1,426"
Fees of jurors and commissioners,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",50,52,53,54,55,56,58,59,60,61,62
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,Administrative Office of the United States Courts,86,94,98,102,105,109,113,118,122,126,131
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,Federal Judicial Center,29,30,30,31,32,33,34,36,37,38,39
Court security,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",578,595,608,620,633,646,660,674,687,702,717
Salaries and expenses,Discretionary,Nondefense,Judicial Branch                                                 ,United States Sentencing Commission,19,20,20,20,21,22,23,23,24,25,26
Payment to judiciary trust funds,Mandatory,Other Spending,Judicial Branch                                                 ,Judicial Retirement Funds,213,232,242,255,265,278,291,304,318,332,348
Judiciary filing fees,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",286,230,230,230,230,230,230,230,230,230,230
Registry Administration,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",0,3,3,3,3,3,3,3,3,4,4
Judiciary information technology fund,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",665,610,614,617,620,624,634,645,655,666,677
Federal payment to Claims Court Judges Retirement Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7
Federal Payment to Judicial Officers' Retirement Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Retirement Funds,-181,-199,-209,-220,-230,-242,-254,-267,-280,-294,-309
Judiciary Information Technology Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,-460,-469,-479,-489,-499,-509,-520,-530,-541,-552,-564
Federal Payment to Judicial Survivors Annuities Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,-26,-27,-27,-28,-28,-29,-29,-30,-31,-31,-32
Judiciary Information Technology Fund proprietary receipts,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150
"Salaries and expenses, General Legal Activities",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,857,926,958,991,"1,023","1,056","1,090","1,124","1,159","1,197","1,235"
Fees and expenses of witnesses,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,218,235,238,242,245,247,250,255,260,266,271
"Salaries and expenses, Antitrust Division",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,21,24,30,34,37,41,45,51,57,64,70
"Salaries and expenses, United States Attorneys",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,"2,103","2,206","2,285","2,365","2,444","2,525","2,607","2,692","2,778","2,869","2,962"
"Salaries and expenses, United States Marshals Service",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,"1,305","1,340","1,370","1,417","1,463","1,511","1,559","1,608","1,658","1,712","1,765"
"Salaries and expenses, United States Marshals Service",Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,5,4,0,0,0,0,0,0,0,0,0
Independent counsel,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,9,5,1,1,1,1,1,1,1,1,1
"Salaries and expenses, Community Relations Service",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,16,17,17,18,18,19,19,20,20,21,22
Federal prisoner detention,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,"1,604","1,615","1,624","1,629","1,663","1,699","1,734","1,769","1,805","1,843","1,880"
Assets forfeiture fund,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,20,20,21,22,22,23,23,24,24,25,25
Assets forfeiture fund,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,"2,877","1,881","1,828","1,674","1,459","1,494","1,528","1,563","1,599","1,636","1,673"
United States trustee system fund,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,-136,98,-84,-57,142,154,167,179,192,205,217
Payment to the Legal Services Corporation                       ,Discretionary,Nondefense,Legal Services Corporation                                      ,Legal Services Corporation                                      ,406,417,426,434,443,453,462,472,481,491,501
Federal payment to the District of Columbia judicial retirement,Mandatory,Other Spending,District of Columbia                                            ,District of Columbia Courts                                     ,15,15,15,15,15,15,15,15,15,15,15
Payment to the District of Columbia judicial retirement & survivors annu,Mandatory,Offsetting receipts,District of Columbia                                            ,District of Columbia Courts                                     ,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
Salaries and expenses,Discretionary,Nondefense,Legislative Branch                                              ,United States Tax Court,51,53,54,56,58,60,62,64,66,68,70
U. S. Tax Court Fees                                            ,Mandatory,Other Spending,Legislative Branch                                              ,United States Tax Court,1,1,1,1,1,1,1,1,1,1,1
Salaries and Expenses                                           ,Discretionary,Nondefense,State Justice Institute                                         ,State Justice Institute                                         ,5,5,5,5,5,6,6,6,6,6,6
Federal Payment to the Court Services and Offender Supervision A,Discretionary,Nondefense,Court Services and Offender Supervision Agency for the District ,Court Services and Offender Supervision Agency for the District ,246,251,259,267,278,285,294,303,313,323,333
Buildings and facilities,Discretionary,Nondefense,Department of Justice                                           ,Federal Prison System,106,119,212,296,287,182,178,179,183,187,192
Salaries and expenses,Discretionary,Nondefense,Department of Justice                                           ,Federal Prison System,"6,875","7,335","7,585","7,840","8,094","8,354","8,620","8,888","9,163","9,455","9,753"
"Federal Prison Industries, Incorporated",Discretionary,Nondefense,Department of Justice                                           ,Federal Prison System,3,3,3,3,3,3,3,3,3,3,3
